CODE,MARKETING PERSON,RREGION,CUSTOMER NAME,,,
100737,Sakthivel,South,AARROW MINERAL AND WATER,,,
100750,Sakthivel,South,ANUGRAHA INDUSTRIES,,,
100953,Sakthivel,South,BHAVISHYA FOODS AND BEVERAGES PVT,,,
100571,Sakthivel,South,BISLERI Coimbatore,,,
100683,Sakthivel,South,BISLERI Keesara,,,
100957,Sakthivel,South,BISLERI Bidadi,,,
100038,Sakthivel,South,BISLERI Bangalore,,,
100039,Sakthivel,South,BISLERI Goa,,,
100040,Sakthivel,South,BISLERI Pashmaylram,,,
100494,Sakthivel,South,BISLERI Vizag,,,
100886,Sakthivel,South,BTC FOOD & BEVERAGES PVT LTD,,,
100950,Sakthivel,South,DASARI SPRINGS,,,
100587,Sakthivel,South,HEALTH,,,
100973,Sakthivel,South,IC FRESH WATER,,,
100917,Sakthivel,South,SAPTHAGIRI INDUSTRIES,,,
100745,Sakthivel,South,SELTZER BEVERAGES,,,
100635,Sakthivel,South,SHREE RAMACHANDRAA AQUA PRODUCTS,,,
100619,Sakthivel,South,SRI SAI KIRAN BEVERAGES,,,
100818,Sakthivel,South,SRI SHYAM FOOD INDUSTRIES,,,
100981,Sakthivel,South,SRIMATHA BEVERAGES PRIVATE LIMITED,,,
100518,Sakthivel,South,SSS INDUSTRIES,,,
100974,Sakthivel,South,TRIDENT BEVERAGES,,,
100904,Sakthivel,South,AKSHAYA AQUA,,,
100872,Sakthivel,South,DAILY FRESH FRUITS INDIA PRIVATE LI,,,
100951,Sakthivel,South,GLACIER SPRING AQUA SERVICES P LTD,,,
100869,Sakthivel,South,INDIAN RAILWAYCATERING &TOURISAM CO,,,
100582,Sakthivel,South,KALIS SPARKLING Villupuram,,,
100345,Sakthivel,South,KALIS SPARKLING Dindugul,,,
100842,Sakthivel,South,KALIS SPARKLING Sricity,,,
100738,Sakthivel,South,MEGA PET INDUSTRIES,,,
100947,Sakthivel,South,THE T NARASAPURAM PACS LTD,,,
100824,Sakthivel,South,UNIVERSAL SEEDS CORPORATION,,,
100777,Sakthivel,South,VICTORY PET,,,
100510,Sakthivel,South,MEGHA FRUIT PROCEESSING PVT LTD,,,
101013,Sakthivel,South,HATSUN AGRO BASED PRODUCTS PVT LTD,,,
101017,Sakthivel,South,KKR AQUA FIRMS,,,
101031,Sakthivel,South,KALASAM ENTERPRISES,,,
101063,Sakthivel,South,BRO INDIA BEVERAGES,,,
101041,Sakthivel,South,MAHA FRESH FRUIT PRODUCTS,,,
101077,Sakthivel,South,SRI VASAVI INDUSTRIES,,,
100821,Sakthivel,South,ITC LIMITED,,,
101062,Sakthivel,South,LEONZ INTERNATIONAL NATUR,,,
101075,Sakthivel,South,V PRESTIGE MINERALS,,,
101074,Sakthivel,South,Sunrise Imports and exports,,,
101079,Sakthivel,South,VARUNAS HEAVENLY WATER,,,
101083,Sakthivel,South,S.V TRADING,,,
101106,Sakthivel,South,SRI AYYANN PET INDUSTRIES,,,
101088,Sakthivel,South,SARA CONTAINERS PVT LTD,,,
101126,Sakthivel,South,MILKY MIST DAIRY FOOD PVT LTD,,,
101158,Sakthivel,South,B S AWARD FOOD PRODUCTS,,,
101161,Sakthivel,South,SSK BEVERAGES,,,
101187,Sakthivel,South,SHIFA MILK CREATIONS,,,
101201,Sakthivel,South,MERGER BEVERAGES PVT LTD,,,
101202,Sakthivel,South,SENNKARATHAAAN FOOD AND BEVERAGES,,,
101205,Sakthivel,South,SANKESHWAR VENTURES INDIA PVT LTD,,,
100346,Sakthivel,South,INDUCO,,,
101207,Sakthivel,South,SHREE ENTERPRISES,,,
101210,Sakthivel,South,LAKSHMI MINERALS,,,
101216,Sakthivel,South,RAASE BEVERAGES PVT LTD,,,
101228,Sakthivel,South,SHIVANI ENTERPRISES,,,
101230,Sakthivel,South,SREE JANATHA INDUSTRIES,,,
101234,Sakthivel,South,HORIZON BEVERAGES,,,
101241,Sakthivel,South,Y RAJA ENTERPRISES,,,
101242,Sakthivel,South,ROYAL INDUSTRIES,,,
100471,Sakthivel,South,PODARAN FOODS INDIA PVT LTD,,,
101658,Sakthivel,South,TATA CONSUMER PRODUCTS LTD,,,
101246,Sakthivel,South,ARIYA PLASTIC INDUSTRIES,,,
101248,Sakthivel,South,RP FOOD & BEVERAGES,,,
100532,Sakthivel,South,SRI LAKSHMI BEVERAGES,,,
101259,Sakthivel,South,VASHISTA WATERS,,,
100655,Sakthivel,South,AMRUTANJAN HEALTH CARE LTD,,,
101275,Sakthivel,South,CREMBERIE FOODS PRIVATE LIMITED,,,
101279,Sakthivel,South,ROYAL FOOD PRODUCTS,,,
101280,Sakthivel,South,G K DAIRY,,,
101285,Sakthivel,South,SCARLET BLEU BEVERAGES,,,
101294,Sakthivel,South,WATARAIN ENTERPRISES LLP,,,
101296,Sakthivel,South,JOGESWAR BEVERAGES,,,
101305,Sakthivel,South,RAAVIS BEVERAGES PRIVATE LIMITED,,,
101308,Sakthivel,South,VIJAYA AQUA MINERAL,,,
101309,Sakthivel,South,KINKAN FOODS AND BEVERAGES PRIVATE LIMITED,,,
101317,Sakthivel,South,HIGHRANGE FOODS PRIVATE LIMITED,,,
101320,Sakthivel,South,TRIMADHURA FOODS AND BEVERAGES PRIVATE LIMITED,,,
101324,Sakthivel,South,SPRINGS FOOD AND BEVERAGES PRIVATE LIMITED,,,
101337,Sakthivel,South,SNOFIELD FOODS PVT. LTD,,,
101316,Sakthivel,South,TEEJAN FOODS PVT LTD,,,
101328,Sakthivel,South,ZSPARK FOOD AND BEVERAGES,,,
101326,Sakthivel,South,GANGOTRISHAKTI FOODCARE PRIVATE LIMITEDUP,,,
101330,Sakthivel,South,GLENDA AQUA FOODS AND PACKS PRIVATE LIMITED,,,
101336,Sakthivel,South,NORTHSHORE FOODS PRIVATE LIMITED,,,
101339,Sakthivel,South,SOUTHSHORE ICE CREAMS PVT. LTD.,,,
101338,Sakthivel,South,COMBINED FOODS PVT LTD,,,
101341,Sakthivel,South,VICTUALS 7DAYS GROUP,,,
101340,Sakthivel,South,SNOCAP ICE CREAMS (P) LTD,,,
101351,Sakthivel,South,SAI AQUA,,,
101353,Sakthivel,South,SNOCAP ICE CREAMS (P) LTD Korattikara,,,
101354,Sakthivel,South,SAI MINERALS,,,
101362,Sakthivel,South,CAVINKARE PRIVATE LIMITED,,,
101384,Sakthivel,South,SIMFRA FROZEN FOODS PRIVATE LIMITED,,,
101380,Sakthivel,South,INCENZA SALES AND MANUFACTURING PRIVATE LIMITED,,,
101422,Sakthivel,South,EKAM BEVERAGES,,,
101421,Sakthivel,South,VENKATSAI BEVERAGES EKAM,,,
101381,Sakthivel,South,OZICO FOOD,,,
101455,Sakthivel,South,SURABHI POLYMERS,,,
101371,Sakthivel,South,ELEGANT BEVERAGES PVT LTD,,,
101396,Sakthivel,South,HERITAGE FOODS LIMITED,,,
101377,Sakthivel,South,VIGNESHWARA BEVERAGES PRIVATE LIMITED,,,
101503,Sakthivel,South,JDM FRUIT PRODUCTS PVT LTD,,,
101550,Sakthivel,South,ASHTE LOGISTICS PVT. LTD,,,
101474,Sakthivel,South,HARIKA FOOD AND BEVERAGES PRIVATE LIMITED,,,
101688,Sakthivel,South,SRI ANJANEYA BEVERAGES,,,
101689,Sakthivel,South,SIVA JYOTHI BEVERAGES,,,
101383,Sakthivel,South,SRI MANJUNATH FOODS AND PACKAGINGS PRIVATE LIMITED,,,
101700,Sakthivel,South,JAI SAI DATTA BEVERAGES,,,
101705,Sakthivel,South,SVRE PACKAGING PRIVATE LIMITED,,,
101744,Sakthivel,South,ZEBEC FOOD AND BEVERAGES PRIVATE LIMITED,,,
101673,Sakthivel,South,KERALA IRRIGATION INFRASTRUCTURE DEVELOPMENT CORPORATION LTD,,,
101780,Sakthivel,South,RAGA PET,,,
101697,Sakthivel,South,MS FOOD AND BEVVERAGES,,,
100986,Sakthivel,South,SRIRAM PET BOTTLES,,,
101699,Sakthivel,South,WIZERBEV QURES PRIVATE LIMITED,,,
101761,Sakthivel,South,N S R DAIRY PRODUCTS,,,
101783,Sakthivel,South,SIDDHI VINAYAKA AGENCY,,,
101831,Sakthivel,South,GOODWILL FOODS AND BEVERAGES,,,
101843,Sakthivel,South,UDAYA FOOD FACTORY PRIVATE LIMITED,,,
101875,Sakthivel,South,MRI FOOD PRODUCTS,,,
101794,Sakthivel,South,THE KRISHNA DISTRICT MILK PRODUCERS MUTUALLY AIDED CO OP,,,
100588,Sakthivel,South,MEGATRENDS INC,,,
101881,Sakthivel,South,ANJANA POLYMERS,,,
101170,Sakthivel,South,KRISHNA FOODS AND AQUA MINERALS,,,
101885,Sakthivel,South,HURRAY GLOBAL INDIA PRIVATE LIMITED,,,
101884,Sakthivel,South,KC FOOD PRODUCTS,,,
101901,Sakthivel,South,TASTY FRUIT BEVARAGES,,,
101836,Sakthivel,South,AISHWARYA FOOD AND BEVERAGES,,,
101333,Sakthivel,South,OCEANA POSITIVE,,,
101906,Sakthivel,South,ASOKA FOODS AND BEVERAGES,,,
101908,Sakthivel,South,SRIJA INDUSTRIES,,,
101949,Sakthivel,South,BISLERI INTERNATIONAL PVT LTD,,,
101957,Sakthivel,South,SS SOLUTIONS,,,
101666,Sakthivel,South,AKSHAYAKALPA FARMS AND FOODS PRIVATE LIMITED,,,
101973,Sakthivel,South,GEOFAST CONSUMER PRODUCTS PRIVATE LIMITED,,,
101945,Sakthivel,South,S.M.BEVERAGE,,,
101982,Sakthivel,South,KERALA IRRIGATION INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,,,
101996,Sakthivel,South,RUDRA POLYMERS,,,
101920,Sakthivel,South,UNITED BLOWPLAST CONTAINERS,,,
101801,Sakthivel,South,GIGANI FOODS,,,
101871,Sakthivel,South,JDR CHILL ZONE,,,
102020,Sakthivel,South,VALENCIA BEVERAGES & SUPERWATER PRIVATE LIMITED,,,
101972,Sakthivel,South,SUJALAA FOOD AND BEVERAGES INDIA LLP (II),,,
101726,Sakthivel,South,MAHALAKSHMI BEVARAGES,,,
102028,Sakthivel,South,ECHELON PACKAGING,,,
102042,Sakthivel,South,JAI BALAJI PET INDUSTRIES,,,
